"Genome","type","napA","narG","nirK","nirS","all_nor","nosZ","Domain","Phylum","Class","Order","Family","Genus","Species","Identifier","Source","Completeness","Contamination","X","d","LowerCI","UpperCI","dCUB","nCAZy","nHE","nGenes","IoC","IoC2","functional_type"
"AB_754_B20_AB_905_clean","SAG",0,0,0,1,1,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-754_B20","ODZ",75.16,1.63,20,8.48969069157917,6.6886136445199,10.8657999864806,0.0019544363448332,20,19,1295,1.33761362277184,1.47777130778632,"nitrite1"
"AB_754_K10_AB_906_clean","SAG",1,0,0,0,0,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-754_K10","ODZ",79.34,0.61,21,6.17050639921701,5.07787929009715,7.5397705417921,-0.0812686088878576,13,34,1201,1.66158455147917,1.55059838664904,"nitrate1"
"AB_754_N18_AB_906_clean","SAG",1,0,0,1,1,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-754_N18","ODZ",73.51,2.7,22,7.2374976048544,5.83225393914362,9.04258928576926,-0.0457501379569038,14,21,1106,1.46299685526654,1.44112894295879,"nitrate2"
"AB_754_P15_AB_906_clean","SAG",1,0,0,0,0,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-754_P15","ODZ",76.82,0.99,23,6.17384778676692,5.08028242270359,7.54439765107553,-0.0845881821646768,7,24,1127,1.71482746784869,1.34907030211394,"nitrate1"
"AB_754_P20_AB_906_clean","SAG",0,0,0,1,1,1,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-754_P20","ODZ",81.9,4.55,24,4.38880381524032,3.75117722047864,5.15314972609553,-0.169231352400639,18,47,1403,2.03027459341463,2.04961211039692,"nitrite2"
"AB_755_C08_E09_clean","SAG",1,0,0,0,0,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","","","AB-755_C08","ODZ",70.05,1.02,25,5.91007812653019,4.88971711029061,7.18074690931814,-0.0908125889837069,13,17,1148,1.66224410406987,1.57474579947711,"nitrate1"
"AB_755_L03_D05_clean","SAG",1,1,1,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","SUP05","","AB-755_L03","ODZ",71.93,2.04,26,4.15709288683478,3.57069395393857,4.85599330907387,-0.0607066914166399,33,34,1477,1.52791362251045,2.05937376127928,"nitrate2"
"AD_305_A20","SAG",0,0,0,0,1,1,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","CG1-02-35-72","CG1-02-35-72 sp013205245","AD-305_A20","ODZ",72.42,0,27,5.9090471868398,4.88896879796737,7.17933207471724,-0.0509272795337483,53,22,1722,1.4683665306684,2.47407062034545,"N2O1"
"AD_311_O20","SAG",1,0,0,0,0,0,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","","AD-311_O20","ODZ",72.04,1.02,28,2.24746896006859,1.98010032058413,2.5568393098762,-0.289664861403681,39,39,1936,2.57867158261215,3.04342910867118,"nitrate1"
"AD_606_A07","SAG",0,1,0,0,0,0,"Bacteria","Marinisomatota","Marinisomatia","Marinisomatales","TCS55","UBA2126","UBA2126 sp002436185","AD-606_A07","ODZ",74.73,0,29,5.50858231786624,4.59612653173973,6.6336854060293,-0.0514507110843374,34,39,1316,1.36344751380623,2.07029201323641,"nitrate1"
"AG_319_B05","SAG",0,0,1,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","Thioglobus","Thioglobus sp902512305","AG-319-B05","ODZ",85.39,0.66,30,6.17882788354539,5.08386360851536,7.55129498558013,-0.0402765788364682,27,34,1359,1.44241134926811,1.82947899626981,"nitrite1"
"AG_319_D09","SAG",0,0,1,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","Thioglobus","Thioglobus sp902512305","AG-319-D09","ODZ",91.75,0.66,31,5.35489996177379,4.48254788915732,6.42643248850804,-0.0763488657364473,28,29,1463,1.62892705694624,1.98731665276316,"nitrite1"
"AG_319_F18","SAG",0,0,1,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Pelagibacter","Pelagibacter sp003283905","AG-319-F18","ODZ",79.87,0,32,7.46432615658837,5.98952617579494,9.36829260711151,-0.0360144512820438,23,11,1194,1.36099977065568,1.70213659227404,"nitrite1"
"AG_319_M14","SAG",0,0,1,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Pelagibacter","Pelagibacter sp902513955","AG-319-M14","ODZ",83.65,0.47,33,8.93650644083604,6.98768553710683,11.5306297641417,0.00704404331091685,22,16,1262,1.27178462429741,1.516409901995,"nitrite1"
"AG_487_I11","SAG",0,1,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","PS1","Thioglobaceae","","","AG-487_I11","ODZ",76.82,0,68,5.78730296307952,4.80040346109553,7.01261503289622,-0.0692059148201914,19,16,1165,1.51242586018235,1.69402879478065,"nitrate1"
"Esearch_AM286690_1_Alcanivorax_borkumensis_SK2.fasta","genome",1,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax borkumensis","AM286690.1","marine",100,0,69,2.64318196786075,2.32725487851781,3.00900984397989,-0.169963704914403,52,48,2820,2.59690337045617,3.03077979319447,"nitrate1"
"Esearch_AP008957_1_Rhodococcus_erythropolis_PR4_DNA.fasta","genome",1,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus","Rhodococcus erythropolis","AP008957.1","PR4 (= NBRC 100887)|seawater|This strain is also named as MBIC01337, PR4.;~synonym: Rhodococcus erythropolis NBRC 100887",100,0,70,2.49476042049065,2.19820329812371,2.83786273211436,-0.263419121606125,133,44,6125,4.40126660775653,5.27847941412355,"nitrate1"
"Esearch_AP009178_1_Nitratiruptor_sp_SB155-2_genomic_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Nautiliales","Nitratiruptoraceae","Nitratiruptor","","AP009178.1","deep-sea hydrothermal field",100,0,71,3.56037033076908,3.09504661311926,4.10726137099353,-0.156280099764702,35,43,1933,2.14359376698554,2.48875505388408,"nitrate3"
"Esearch_AP009179_1_Sulfurovum_sp_NBC37-1_genomic_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","","AP009179.1","deep-sea hydrothermal field",100,0,72,1.04263021582469,0.879600249409544,1.24106557729124,-0.427890779974705,44,42,2553,3.39651467718649,3.76222791064147,"nitrate3"
"Esearch_AP011529_1_Deferribacter_desulfuricans_SSM1_DNA.fasta","genome",1,1,0,0,0,0,"Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Deferribacteraceae","Deferribacter","Deferribacter desulfuricans","AP011529.1","deep sea hydrothermal vent",100,0,73,7.12946740678508,5.75699121226178,8.88820954217856,-0.00767511933779923,39,42,2180,1.7410389365744,2.08359388207656,"nitrate1"
"Esearch_AP012273_1_Thiolapillus_brandeum_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","","","Thiolapillus","","AP012273.1","Hiromi 1|type strain of Thiolapillus brandeum|Thiolapillus brandeum",100,0,74,3.98954194627249,3.43878573018476,4.64328669604148,-0.0926775843719588,68,48,2945,2.30758458083599,2.9971069238439,"nitrate3"
"Esearch_AP013035_1_Thermosulfidibacter_takaii_ABI70S6_DNA.fasta","genome",1,0,0,0,0,0,"Bacteria","Aquificota","Aquificae","Aquificales","","Thermosulfidibacter","Thermosulfidibacter takaii","AP013035.1","ABI70S6|type strain of Thermosulfidibacter takaii|strain coidentity: NBRC103674 = JCM13301 = DSM 17441",100,0,75,5.18943833640373,4.35947598574017,6.20467329130049,-0.0347254610024865,46,44,1853,1.57023840724411,2.2635352079151,"nitrate1"
"Esearch_AP014655_1_Pseudomonas_sp_MT-1_DNA_nearly_complete_genome.fasta","genome",1,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","AP014655.1","Mariana Trench",100,0,76,2.39902659552054,2.1142223469186,2.72846382847198,-0.252906576868039,88,49,4510,3.65260045010187,4.28310415990411,"nitrate3"
"Esearch_AP019537_1_Marinobacter_hydrocarbonoclasticus_YB03_DNA_nearly_complete_genome.fasta","genome",1,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","","AP019537.1","YB03|Marinobacter hydrocarbonoclasticus|Japan:Yokohama|oilfield water",100,0,77,2.05141083722318,1.80455788069765,2.33755971457304,-0.273023177527983,80,48,3904,3.42624847122173,4.06339876821275,"nitrate3"
"Esearch_AP020335_1_Hydrogenovibrio_marinus_MH-110_DNA.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Hydrogenovibrio","","AP020335.1","MH-110|JCM:7688|type strain of Hydrogenovibrio marinus|Japan:Kanagawa, Shonan Coast|seawater",100,0,78,1.70804229509793,1.49233180593787,1.96007684429633,-0.299625284138416,40,49,2326,2.84270320897909,3.17960635030871,"nitrate1"
"Esearch_AP021859_1_Alteromonas_sp_I4_DNA.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","AP021859.1","I4|Japan:Japan Sea|marine water|2019-08-08",100,0,79,0.997027776138601,0.837849920597228,1.19166274732936,-0.529463860776668,160,50,4495,4.34978562667443,5.86706478412002,"nitrate1"
"Esearch_AP022337_1_Mameliella_alba_KU6B_DNA.fasta","genome",1,1,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Mameliella","","AP022337.1","KU6B|Japan:Chiba, Boso Peninsula|sea water|2011-06",100,0,80,3.61323710469789,3.13787266673546,4.17257876598775,-0.179162127643353,80,44,5466,3.91733170749692,4.35451016128756,"nitrate2"
"Esearch_AP022624_1_Pseudoalteromonas_sp_PS1M3_DNA_chromosome_1.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","","AP022624.1","",100,0,81,1.32012305095532,1.13506699340551,1.5404191710115,-0.426240949843002,52,49,3274,3.74694469963147,4.09623045605963,"nitrate1"
"Esearch_AP022847_1_Nitrosophilus_alvini_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Nautiliales","Nitratiruptoraceae","Nitrosophilus","","AP022847.1","EPR55-1|type strain of Nitrosophilus alvini|1|Pacific Ocean:East Pacific Rise|deep-sea hydrothermal vent|9.83 N 104.28 W",100,0,83,5.49590291991533,4.58678183632309,6.61654027975058,-0.0643601928782289,33,43,1788,1.74869994529039,2.09496038193726,"nitrate3"
"Esearch_AP022869_1_Halomonas_meridiana_Eplume2_DNA.fasta","genome",1,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","","AP022869.1","Eplume2|Pacific Ocean|hydrothermal-plume|1995",100,0,84,2.13646374098482,1.88098294683772,2.43231964232955,-0.222324818755707,51,47,3916,3.37708541090992,3.60824959197788,"nitrate1"
"Esearch_AP023061_1_Nitratiruptor_sp_YY08-14_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Nautiliales","Nitratiruptoraceae","Nitratiruptor","","AP023061.1","YY08-14|Japan:Okinawa, Hatoma Knoll|marine hydrothermal vent chimney|24.85833 N 123.84167 E|2008-07",100,0,85,3.60659439060997,3.13249933940885,4.16436033139279,-0.14913067365781,32,42,1884,2.11430308967021,2.39453830075031,"nitrate3"
"Esearch_AP023063_1_Nitratiruptor_sp_YY08-26_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Nautiliales","Nitratiruptoraceae","Nitratiruptor","","AP023063.1","YY08-26|Japan:Okinawa, Hatoma Knoll|marine hydrothermal vent chimney|24.85833 N 123.84167 E|2008-07",100,0,86,5.26418663949698,4.41517775915817,6.30467499525684,-0.0547479809075203,40,43,1978,1.77398460523618,2.2299169911639,"nitrate3"
"Esearch_AP023065_1_Nitratiruptor_sp_YY09-18_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Nautiliales","Nitratiruptoraceae","Nitratiruptor","","AP023065.1","YY09-18|Japan:Okinawa, Hatoma Knoll|marine hydrothermal vent chimney|24.85833 N 123.84167 E|2008-07",100,0,87,4.46559691241832,3.8105210317686,5.25237556487215,-0.103917428854578,40,43,1806,1.83485915215863,2.38471217079649,"nitrate3"
"Esearch_AP023212_1_Hydrogenimonas_urashimensis_SSM-sur55_DNA.fasta","genome",1,0,0,1,1,1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Hydrogenimonaceae","Hydrogenimonas","","AP023212.1","SSM-sur55|type strain of Hydrogenimonas urashimensis|1|Pacific Ocean:South Mariana Trough|deep-sea hydrothermal vent in the South Mariana Trough|12.92 N 143.65 E|2010-08-23",100,0,88,3.25058017774116,2.84114070938251,3.72875453423608,-0.166777306149788,51,42,2272,2.26597963281288,2.87299626791948,"nitrate3"
"Esearch_AP024086_1_Desulfomarina_profundi_KT2_DNA.fasta","genome",1,0,0,0,0,0,"Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfomarina","","AP024086.1","KT2|type strain of Desulfomarina profundi|Pacific Ocean|chimney structure|28.58 N 140.65 E|2019",100,0,89,5.25390185517864,4.40752381658256,6.29089790581412,-0.0389390373411858,89,46,4023,2.63459318992416,3.35292834542187,"nitrate1"
"Esearch_AP024154_1_Echinicola_sp_20G_DNA_nearly_complete_genome.fasta","genome",1,0,0,0,0,0,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","","AP024154.1","20G|Japan:Mie, Ise bay|coastal seawater|2018-09-11",100,0,90,2.23006998831061,1.96461299487535,2.53725715387225,-0.278811984898839,355,46,4686,2.89955428363195,6.5838309878991,"nitrate1"
"Esearch_AP024355_1_Desulfuromonas_versatilis_NIT-T3_DNA.fasta","genome",0,1,0,0,0,0,"Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","","AP024355.1","NIT-T3|type strain of Desulfuromonas versatilis|Japan|seawater|34.3927 N 137.2331 E|2016-05-20",100,0,91,4.46742919779387,3.81193420057706,5.25474751998467,-0.0886192467706901,67,49,4084,2.93092437760401,3.34868761261833,"nitrate1"
"Esearch_AP024545_1_Lysobacter_caseinilyticus_KVB24_DNA","genome",0,0,1,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","","AP024545.1","JCM32879|JCM:32879|type material of Lysobacter caseinilyticus, seawater",100,0,92,7.31948086529783,5.88921404134269,9.16006746472654,-0.026603365099157,73,49,3094,2.13686579287886,2.86074197898959,"nitrite1"
"Esearch_BA000043_1_Geobacillus_kaustophilus_HTA426_DNA.fasta","genome",0,0,1,0,1,0,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus kaustophilus","BA000043.1","HTA426|isolated from the deepest Ocean|thermophile",100,0,93,3.28733770358805,2.87154017342957,3.77327781168864,-0.147413198531758,74,44,3521,2.80022251778312,3.42687007356386,"nitrite1"
"Esearch_BX119912_1_Rhodopirellula_baltica_SH_1_complete_genome","genome",1,0,0,0,0,0,"Bacteria","Planctomycetia","Pirellulales","Pirellulaceae","Rhodopirellula","Rhodopirellula baltica","Rhodopirellula_baltica","BX119912.1","marine",100,0,94,3.58564793974794,3.11554105911878,4.13846639204562,-0.171527606345433,176,40,5477,3.60781241291231,4.99051464792806,"nitrate1"
"Esearch_CP000155_1_Hahella_chejuensis_KCTC_2396.fasta","genome",1,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Hahella","Hahella chejuensis","CP000155.1","Marine",100,0,96,1.33617576752466,1.1498826383254,1.5577164396905,-0.375265078605366,141,50,6383,4.90636413771401,5.83193677830615,"nitrate3"
"Esearch_CP000264_1_Jannaschia_sp_CCS1.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Jannaschia","","CP000264.1","marine",100,0,97,4.49974739011143,3.83683890827458,5.29661815185626,-0.107816366073518,71,42,4281,3.0864664926742,3.53075155454739,"nitrate1"
"Esearch_CP000282_1_Saccharophagus_degradans_2-40.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Saccharophagus","Saccharophagus degradans","CP000282.1","marine",100,0,98,1.67335995695164,1.46052392352576,1.92233458685625,-0.31026030731967,255,47,4143,2.99193217590335,5.86823221021499,"nitrate1"
"Esearch_CP000356_1_Sphingopyxis_alaskensis_RB2256.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis alaskensis","CP000356.1","marine",100,0,99,5.25368675722248,4.4073637060461,6.29060982897856,-0.0923821630972278,49,41,3206,2.55586663721041,2.84424450674695,"nitrate1"
"Esearch_CP000471_1_Magnetococcus_marinus_MC-1.fasta","genome",1,0,0,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Magnetococcales","Magnetococcaceae","Magnetococcus","Magnetococcus marinus","CP000471.1","marine",100,0,100,3.17756615680757,2.78052992671004,3.64063254176671,-0.131101785008766,82,45,3917,2.927870129252,3.58008265620782,"nitrate1"
"Esearch_CP000472_1_Shewanella_piezotolerans_WP3.fasta","genome",1,0,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella piezotolerans","CP000472.1","deep sea",100,0,101,1.62042670959669,1.4119056695619,1.86484028136112,-0.378262683596922,73,48,4592,4.18914855130388,4.63955180656388,"nitrate1"
"Esearch_CP001087_1_Desulfobacterium_autotrophicum_HRM2.fasta","genome",0,1,0,0,0,0,"Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulforapulum","Desulforapulum autotrophicum","CP001087.1","marine",100,0,103,4.79278303946064,4.06089671401939,5.67911348459592,-0.0500598319675539,76,47,4859,3.1674160038453,3.6021677264079,"nitrate1"
"Esearch_CP001103_3_Alteromonas_mediterranea_DE_chromosome.fasta","genome",1,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas mediterranea","CP001103.1","U10|Greece: Ionian Sea|seawater|35.1 N 21.29999999 E|1998",100,0,104,1.22260765412973,1.04510961336419,1.43535041227086,-0.471116668237048,107,46,4032,4.0799524632702,5.06751562635188,"nitrate1"
"Esearch_CP001678_1_Hirschia_baltica_ATCC_49814.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae","Hirschia","Hirschia baltica","CP001678.1","marine",100,0,105,1.42654876777089,1.23328905487432,1.655149645824,-0.36113806368536,96,44,3145,3.21827188241178,4.34377746374253,"nitrate1"
"Esearch_CP001712_1_Robiginitalea_biformata_HTCC2501.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Robiginitalea","Robiginitalea biformata","CP001712.1","Sargasso Sea",100,0,106,5.28625488958093,4.43159008505904,6.33425563905962,-0.0717281724891009,99,41,3116,2.17058853160739,3.34104225226833,"N2O1"
"Esearch_CP001744_1_Planctopirus_limnophila_DSM_3776_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctopirus","Planctopirus limnophila","CP001744.1","DSM 3776|Planctomyces limnophilus DSM 3776|type strain of Planctopirus limnophila|surface water",100,0,107,2.88116940302557,2.53127888696587,3.2873528513442,-0.219770851104149,116,40,4226,3.27441128693027,4.30899077512391,"nitrate1"
"Esearch_CP001798_1_Nitrosococcus_halophilus_Nc4.fasta","genome",0,0,1,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus","Nitrosococcus halophilus","CP001798.1","marine",100,0,108,3.92228611150034,3.38548966179821,4.55843411731666,-0.0928121978675726,126,47,3921,2.6113439033574,3.86619847384071,"nitrite1"
